GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, RotateRight45, Shoot, GetBattleInfo, RotateLeft90, Shoot, Shoot, RotateRight90, Shoot, RotateLeft45
Shoot (ignored), MoveForward, Shoot (ignored), RotateLeft90, MoveForward, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), MoveForward
GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), MoveForward, Shoot (ignored), GetBattleInfo, RotateRight45, Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward
Shoot (ignored), RotateRight45, Shoot (ignored), MoveForward (killed), MoveForward (killed), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), RotateLeft90
GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, MoveForward, Shoot, killed, killed, Shoot, Shoot, MoveForward, Shoot, Shoot
Shoot, RotateLeft45, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), DoNothing (killed)
GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), RotateRight90, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), RotateLeft45, Shoot (ignored), killed
Shoot (ignored), RotateLeft45, Shoot (ignored), killed, killed, Shoot (ignored) (killed), Shoot (ignored), Shoot, Shoot (ignored), killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
Shoot, RotateRight90, Shoot, killed, killed, killed, Shoot, RotateLeft45, Shoot, killed
Shoot (ignored), MoveForward, Shoot (ignored), killed, killed, killed, Shoot (ignored), MoveForward, Shoot (ignored), killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), RotateRight45, Shoot (ignored), killed, killed, killed, Shoot (ignored), RotateRight45, Shoot (ignored), killed
Shoot (ignored), MoveForward, Shoot (ignored), killed, killed, killed, Shoot (ignored), Shoot, Shoot (ignored), killed
GetBattleInfo, GetBattleInfo, GetBattleInfo (killed), killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
Shoot, RotateLeft90, killed, killed, killed, killed, Shoot, DoNothing, Shoot, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot (ignored), DoNothing, Shoot (ignored), killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), RotateRight45, Shoot (ignored), killed
RotateRight45, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, Shoot (ignored), killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
MoveForward, Shoot, killed, killed, killed, killed, Shoot, DoNothing, Shoot, killed
RotateLeft90, DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, Shoot (ignored), killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, Shoot (ignored), killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, Shoot (ignored), killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, RotateLeft90 (killed), killed
