GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, RotateRight90, Shoot, RotateRight90, GetBattleInfo, Shoot, RotateRight90, Shoot
Shoot (ignored), Shoot, Shoot (ignored), Shoot, MoveForward, Shoot (ignored), Shoot, Shoot (ignored)
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), RotateLeft90, Shoot (ignored), DoNothing, GetBattleInfo, Shoot (ignored), DoNothing, Shoot (ignored)
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, Shoot, Shoot (ignored), DoNothing, Shoot (ignored)
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, RotateLeft45, Shoot, Shoot, GetBattleInfo, Shoot, Shoot, RotateLeft90
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored), DoNothing, Shoot
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, GetBattleInfo, Shoot (ignored), DoNothing, Shoot (ignored)
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, Shoot, Shoot (ignored), DoNothing, Shoot (ignored) (killed)
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, killed
Shoot, RotateLeft90, Shoot, Shoot, GetBattleInfo, Shoot, Shoot, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, RotateRight90, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight45, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), RotateRight90, Shoot (ignored), DoNothing, GetBattleInfo, Shoot (ignored), DoNothing, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, MoveForward, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, killed
Shoot, MoveForward, Shoot, Shoot, GetBattleInfo, Shoot, Shoot, killed
Shoot (ignored), RotateLeft90, Shoot (ignored), DoNothing, Shoot, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, GetBattleInfo, Shoot (ignored), DoNothing, killed
Shoot (ignored), RotateRight45, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, killed
Shoot, MoveForward, Shoot, Shoot, GetBattleInfo, Shoot, Shoot, killed
Shoot (ignored), RotateLeft45, Shoot (ignored), DoNothing, Shoot, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, GetBattleInfo, Shoot (ignored), DoNothing, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, killed
Shoot, MoveForward, Shoot, Shoot, GetBattleInfo, Shoot, Shoot, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, Shoot, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, killed
Shoot (ignored), RotateRight90, Shoot (ignored), DoNothing, GetBattleInfo, Shoot (ignored), DoNothing, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, killed
Shoot, RotateLeft90, Shoot, Shoot, GetBattleInfo, Shoot, Shoot, killed
Shoot (ignored), Shoot, Shoot (ignored), DoNothing, Shoot, Shoot (ignored), DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo (killed), GetBattleInfo, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, GetBattleInfo, killed, DoNothing, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, DoNothing, killed, DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, GetBattleInfo, killed
Shoot, RotateRight90, Shoot, Shoot, GetBattleInfo, killed, Shoot, killed
Shoot (ignored), Shoot, Shoot (ignored), DoNothing, Shoot, killed, DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, GetBattleInfo, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, GetBattleInfo, killed, DoNothing, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, DoNothing, killed, DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, GetBattleInfo, killed
Shoot, Shoot, Shoot, Shoot, GetBattleInfo, killed, Shoot, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, Shoot, killed, DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, GetBattleInfo, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, GetBattleInfo, killed, DoNothing, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, DoNothing, killed, DoNothing, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, GetBattleInfo, killed
Shoot, Shoot, Shoot, Shoot, GetBattleInfo, killed, Shoot, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, Shoot, killed, DoNothing (killed), killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, killed
