GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), MoveForward, RotateLeft45, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft45, RotateRight45
GetBattleInfo, RotateLeft90, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft45, MoveForward, MoveForward
Shoot (ignored), GetBattleInfo, GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), Shoot, MoveForward, Shoot (ignored) (killed), Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, RotateRight90
GetBattleInfo, DoNothing, RotateLeft90, killed, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward
Shoot, GetBattleInfo, GetBattleInfo, killed, RotateLeft90, Shoot, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), RotateRight90, Shoot, killed, Shoot, Shoot (ignored), RotateLeft45, MoveForward, MoveForward
GetBattleInfo, MoveForward, DoNothing, killed, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, RotateRight45
Shoot (ignored), GetBattleInfo, GetBattleInfo, killed, Shoot (ignored), Shoot (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), RotateLeft45, DoNothing, killed, Shoot (ignored), Shoot (ignored), MoveForward, RotateRight45, MoveForward
GetBattleInfo, MoveForward, DoNothing, killed, GetBattleInfo, GetBattleInfo, RotateRight45 (killed), MoveForward (killed), RotateLeft45
Shoot, GetBattleInfo, GetBattleInfo (killed), killed, Shoot, Shoot, killed, killed, GetBattleInfo
Shoot (ignored), RotateLeft45, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, RotateLeft90
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward
Shoot (ignored), GetBattleInfo, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, GetBattleInfo
Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, MoveForward
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward
Shoot, GetBattleInfo, killed, killed, Shoot, Shoot, killed, killed, GetBattleInfo
Shoot (ignored), RotateLeft45, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, RotateRight45
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward
